mother,stepdaughter,category_for_map,,name,city,link,country,address,Latitude,Longitude
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Community in the name of St. great martyr Ioann Sochavskyi,Берлін,www.rokmp.de,Germany,"Robert-Siewert-Str 67, 10318 Berlin",52.4930031,13.5345054
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Church of St. Nectariy Eginsky and St. Procopy of Ustyug,Бишофсхайм-на-Рене,www.rokmp.de,Germany,"Fastnachtsgasse 4, 97653 Bischofshein (Rhoen)",50.4004416,10.0086064
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Community of St. Apostle Jacob,Білефельд,www.rokmp.de,Germany,"Andreas Kapelle, Kiskerstraße 26, Bielefeld 33615",52.0233046,8.523357599999999
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Сурозька єпархія,Parish of All Saints of Great Britain and Ireland,Бірмінгем,http://www.sourozh.org/,Great Britain,"141 Hagley Rd, Edgbaston, Birmingham B16 8UE",52.47202309999999,-1.9290134
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Сурозька єпархія,Parthia of All Saints of Wales,Бленау Ффестініог,http://www.sourozh.org/,Great Britain,"Manod Rd, Blaenau Ffestiniog LL41 4AF",52.9842339,-3.9296073
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,РПЦ в Данії,Church of the Saint Royal Passionists,Богу,https://ortodoxy.dk/,Denmark,"Prinsehoejsvej 35, Baagoe 5160, Assens",55.3106118,9.8099926
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Сурозька єпархія,Sisterhood of Saint Elizabeth in Bodiam,Бодіам,http://www.sourozh.org/,Great Britain,"Rocks Farm, Bodiam, EAST SUSSEX, TN32 5RJ",50.98941440000001,0.5356419
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Адміністрація парафій МП в Італії,Parish in honor of Saint Basil the Great,Болонья,http://ortodossia.org/,Italy,"via Sant’Isaia, 35, 40123 Bologna",44.4940826,11.3321642
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Адміністрація парафій МП в Італії,Parish in honor of the Intercession of the Holy Mother of God,Болонья,http://ortodossia.org/,Italy,"Via Saragozza,  2.  Cap 40135, Bologna",44.49021940000001,11.3373084
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Parish of the Intercession of the Holy Mother of God,Бонн,www.rokmp.de,Germany,"Am Draitschbusch 2a, 53177 Bonn",50.6791344,7.147305999999999
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Корсунська єпархія,Parish in honor of Ven. Seraphim of Sarovsky to Bordeaux,Бордо,https://cerkov-ru.com/,France,"France, 15 rue saint François-Xavier Bruges 33520 Bordeaux",44.8957757,-0.5920027000000001
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Сурозька єпархія,Parish in honor of the Jerusalem icon of the Mother of God,Брайтон,http://www.sourozh.org/,Great Britain,"St Richard Hollingdean Community Hall, 9 Beal Crescent, Brighton, East Sussex, BN1 7BU",50.8431046,-0.1268786
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,"Parish of the Icon of the Mother of God ""Sign"" Kurska-Korinna",Бракель,www.rokmp.de,Germany,"Ostheimerstrasse, 33034 Brakel",51.7131117,9.19323
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,"Parish of the Icon of the Mother of God ""Joy of All the Sorrowful""",Бранденбург,www.rokmp.de,Germany,"Brahmstrasse 12A, 14772 Brandenburg an der Havel",52.4287567,12.51442
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,St. George Men's Monastery,Бранденбург,www.rokmp.de,Germany,,53.09198763913793 ,13.672138184377479
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Сурозька єпархія,Parish in name of God's Ascension in Bradford,Бредфорд,http://www.sourozh.org/,Great Britain,"98 Little Horton Lane, Bradford BD5 0JG",53.7857885,-1.7599148
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Church of the Saint Royal Passionists,Бремен,www.rokmp.de,Germany,"Kleine Westerholzstrasse 17, 28309 Bremen",53.0532929,8.890907499999999
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Parish of Rev. Anastasia of Kyiv and St. martyr Volodymyr Abartsumov,Бремерхафен,www.rokmp.de,Germany,"Schillerstraße 117, Bremerhaven",53.52388209999999,8.5974962
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Адміністрація парафій МП в Італії,Parish in honor of the Sending of the Holy Spirit,Брешія,http://ortodossia.org/,Italy,"Chiesa Santi Cosma e Damiano, Via Cairoli 27, Brescia",45.53950529999999,10.2118238
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Адміністрація парафій МП в Італії,Community in honor of Saint Nicholas the Wonderworker,Брешія,http://ortodossia.org/,Italy,"via San Faustino 36, Brescia",45.5420379,10.2196233
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Сурозька єпархія,Holy Trinity Parish in Bristol,Брістоль,http://www.sourozh.org/,Great Britain,"St John Fisher Church, 56 Begbrook Park, Frenchay, Bristol BS16 1NF
",51.4944382,-2.5271029
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,,Representation of the Russian Orthodox Church at European international organizations,Брюссель,http://orthodoxru.eu/,Belgium,"
Rue Leon Lepage 35, 1000 Bruxelles, Belgium",50.8521459,4.345397999999999
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Брюсельсько-Бельгійська єпархія,St. Michael Cathedral,Брюссель,https://www.archiepiskopia.be/,Belgium,"Rue des Chevaliers 29, B-1050 Bruxelles",50.8360313,4.3597603
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Брюсельсько-Бельгійська єпархія,Church of the Holy Life-giving Trinity,Брюссель,https://www.archiepiskopia.be/,Belgium,"Rue Leon Lepage 35
B-1000 Bruxelles",50.8521459,4.345397999999999
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Брюсельсько-Бельгійська єпархія,Church of the Intercession of the Holy Mother of God,Брюссель,https://www.archiepiskopia.be/,Belgium,"Rue Leon Lepage 33, 1000 Bruxelles",50.8520809,4.34537
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Брюсельсько-Бельгійська єпархія,Church of St. Righteous Anna,Брюссель,https://www.archiepiskopia.be/,Belgium,"Eglise Ste. Anne, Avenue des Trembles, 1020 Bruxelles (Laeken)",50.8887863,4.3494618
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,,Assumption Cathedral (Hungarian Assumption Parish),Будапешт,http://hungary.orthodoxia.org,Hungary,"1052 Budapest, Petőfi tér 2",47.4932309,19.050837
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,,Assumption Cathedral (Russian Holy Trinity Parish),Будапешт,http://hungary.orthodoxia.org,Hungary,"1052 Budapest, Petőfi tér 2",47.4932309,19.050837
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,,Budapest St. Sergius Parish,Будапешт,http://hungary.orthodoxia.org,Hungary,"1052 Budapest, Petőfi tér 2",47.4932309,19.050837
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Іспано-Португальська єпархія,Parish in honor of the great martyr George,Валенсія,http://orthodoxspain.com,Spain,"Spain, CNorte 6 46008 Valencia España",39.47503090000001,-0.3904552
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Корсунська єпархія,Church in honor of the Holy Trinity and New Martyrs and confessors of Russia,Ванв,https://cerkov-ru.com/,France,"France, 16 rue Michel-Ange",48.84666439999999,2.2628204
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Адміністрація парафій МП в Італії,Parish in honor of St. Grand Duke Alexander Nevsky,Варезе,http://ortodossia.org/,Italy,"via Milazzo 15, Varese",45.8146944,8.8132888
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Корсунська єпархія,Parish in honor of the first martyr Archdeacon Stefan and Saint Herman of Osser,Везле,https://cerkov-ru.com/,France,"France, Maison Romane rue du Couvent 89450 Vezelay",47.4661348,3.7470594
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Church of St. Reverend Martyr Evgenia,Веймар,www.rokmp.de,Germany,"Pfarramt ROK, Windmühlenstraße 25 b, 99425 Weimar",50.9721082,11.3135138
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Адміністрація парафій МП в Італії,Parish in honor of Saints Myrrh-bearers,Венеція,http://ortodossia.org/,Italy,"Sestiere Santa Croce, campo San Zan Degolà 1",45.4415226,12.3276874
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Адміністрація парафій МП в Італії,Parish in honor of Saint Nicholas the Wonderworker,Верона,http://ortodossia.org/,Italy,"Vicolo San Salvatore Vecchio, 9 Verona",45.4440811,10.9945662
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Адміністрація парафій МП в Італії,Parish in honor of All Saints,Верона,http://ortodossia.org/,Italy,"Chiesa S. Antonio, Via A. Manzoni — San Martino Buon Albergo",45.4267967,11.0821672
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,The community of St. martyr Iryna,Вертхайм,www.rokmp.de,Germany,Willi-Brand-Str. 1. 97877 Wertheim,49.7531089,9.4957133
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Благочиння РПЦ МП в Швеції,Parish in the name of the Kazan icon of the Mother of God,Вестерос,http://sweden.cerkov.ru/,Sweden,"Atmosfärvägen 8, 72131 Västerås",59.5922114,16.6242235
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Віденсько-Австрійська єпархія,Saint Nicholas Cathedral,Відень,https://austria-diocese.com/,Austria,"Jaurèsgasse 2, 1030 Wien, Австрія",48.1974525,16.3850621
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Адміністрація парафій МП в Італії,Parish in honor of Saint Nicholas the Wonderworker,Віченца,http://ortodossia.org/,Italy,Via Porta Santa Croce 55,41.8401649,12.8938163
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Сурозька єпархія,"Parish of Our Lady of the Life-giving Source, Walsingham",Волсінгем,http://www.sourozh.org/,Great Britain,"Pan-Orthodox Chapel at the  Shrine of Our Lady of Walsingham, Little Walsingham, Norfolk NR22 6EF",52.8946704,0.8759113
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,"Community of the Three Saints Basil the Great, Gregory the Theologian and John the Baptist",Вормс,www.rokmp.de,Germany,"Landgrafenstraße 66, 67549 Worms",49.63423580000001,8.3208352
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Сурозька єпархія,Parish of St. Patrick of Ireland,Вотерфорд,http://www.sourozh.org/,Ireland,"Saint Paul's Boxing Club (1st floor), Lisduggan,  Waterford, X91XW80",52.2496895,-7.1323319
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Parish of Reverend Martyrs Elizabeth and Barbara in Buckfast,Вупперталь,www.rokmp.de,Germany,"Vogelsangstrasse 106, 42109 Wuppertal",51.2745968,7.1426177
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Parish of the Annunciation of the Most Holy Theotokos,Вюрцбург,www.rokmp.de,Germany,"Zeller Straße 45, 97082 Würzburg",49.7937774,9.918678199999999
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Гаазька і Нідерландська єпархія,Parish of St. Mary Magdalene,Гаага,www.russian-diocese.nl,Netherlands,"Obrechtstraat 9, 2517 VL Den Haag",52.0834103,4.2885354
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Parish of the Exaltation of the Holy Cross,Галле,www.rokmp.de,Germany,"Franckeplatz 1, 06110 Halle",51.4779707,11.9709711
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Church of St. Nicholas the Miracle Worker of Myrliki,Гамбург,www.rokmp.de,Germany,"Tschaikovskiplatz 1, 20355 Hamburg",53.5568845,9.9751759
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Church of St. Myrrh-bearing women,Гамбург,www.rokmp.de,Germany,"Holstenkamp 89, 22525 Hamburg",53.5713291,9.9144691
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Parish of equal-to-the-apostles Cyril and Methodius,Гамбург,www.rokmp.de,Germany,"Billhorner Mühlenweg 31, 20539 Hamburg",53.5355608,10.0327408
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,"Community in the name of St. Luke, Archbishop of Crimea",Гамельн,www.rokmp.de,Germany,"Lohstraße 8, 31785 Hameln",52.102113,9.3673792
